Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,cluster,sample_type
2206,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The Adults Are Talking,79,309053,False,0.6020304568527918,0.749,5,0.8112942308048017,1,0.04922279792746115,0.011345381526104417,0.106,0.314,0.6522613065326632,0.677805992472429,4,alt-rock,,seed
2463,3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,"Call It Fate, Call It Karma",72,204773,False,0.5522842639593909,0.241,4,0.6428056156706065,0,0.031088082901554407,0.9869477911646587,0.774,0.101,0.36080402010050244,0.44966964153641337,4,alt-rock,,seed
2554,2t0wwvR15fc3K1ey8OiOaN,The Strokes,The New Abnormal,Selfless,71,222093,False,0.5461928934010152,0.679,4,0.8366905277176626,1,0.0345077720207254,0.1917670682730924,0.00175,0.0889,0.08924623115577889,0.5012491165787354,4,alt-rock,,seed
2709,7kzKAuUzOITUauHAhoMoxA,The Strokes,Is This It,Last Nite,74,193506,False,0.6335025380710659,0.91,0,0.8106838318258327,1,0.030777202072538864,0.028614457831325303,0.000198,0.0789,0.7708542713567839,0.4275019311999737,4,alt-rock,,seed
2763,57Xjny5yNzAcsxnusKmAfA,The Strokes,Room On Fire,Reptilia,75,219826,False,0.4964467005076142,0.649,9,0.8216525165085178,1,0.034818652849740936,0.000605421686746988,0.713,0.101,0.7738693467336683,0.6492488864783129,4,alt-rock,,seed
2806,1BLOVHYYlH4JUHQGcpt75R,The Strokes,The New Abnormal,Ode To The Mets,67,351786,False,0.43248730964467,0.617,1,0.8158629746776908,0,0.02994818652849741,0.3423694779116466,0.181,0.101,0.20201005025125626,0.3780303403842677,4,alt-rock,,seed
38068,1aOxOpH4AkGAd8OMrKjyNY,The Strokes,The New Abnormal,Why Are Sundays So Depressing,68,275666,False,0.5878172588832487,0.714,0,0.8337680113941142,1,0.03595854922279793,0.0025903614457831324,0.0269,0.111,0.300502512562814,0.45186381342142895,4,garage,,seed
38073,56NkIxSZZiMpFP5ZNSxtnT,The Strokes,Is This It,Someday,70,183573,False,0.550253807106599,0.531,9,0.7777962747165343,1,0.031191709844559587,0.003313253012048193,1.51e-06,0.338,0.6743718592964824,0.4354239600282695,4,garage,,seed
38084,4fPBB44eDH71YohayI4eKV,The Strokes,First Impressions Of Earth,You Only Live Once,72,189226,False,0.6395939086294415,0.908,11,0.871409281763868,1,0.03378238341968912,0.023895582329317273,0.592,0.116,0.97286432160804,0.4952171983629999,4,garage,,seed
38103,6IRzBP4gVoV4D2zHmocoWy,The Strokes,The New Abnormal,Eternal Summer,62,375320,False,0.6263959390862943,0.78,7,0.8335645450677912,0,0.038963730569948195,0.014156626506024096,0.0112,0.0833,0.32763819095477387,0.38603865687096295,4,garage,,seed
38114,2pAD0PKMUMtxlMvz33tYzB,The Strokes,Is This It,Is This It,61,151333,False,0.6741116751269035,0.679,5,0.7627767604461461,1,0.031088082901554407,0.1495983935742972,4.84e-05,0.347,0.808040201005025,0.39446608484131285,4,garage,,seed
38115,55N8cxpE1QDoeaaNqUnoZ2,The Strokes,The New Abnormal,Bad Decisions,64,293360,False,0.3796954314720812,0.922,0,0.853282281782365,1,0.05803108808290156,0.01355421686746988,0.204,0.28,0.3949748743718593,0.629558864618773,4,garage,,seed
38131,2mDYYGaGd9uXKkK2YhDA3i,The Strokes,The New Abnormal,Brooklyn Bridge To Chorus,64,235946,False,0.6375634517766497,0.571,0,0.8440893032203169,1,0.06507772020725389,0.006044176706827309,9.21e-05,0.0833,0.4693467336683417,0.49265733116381505,4,garage,,seed
38132,6u0x5ad9ewHvs3z6u9Oe3c,The Strokes,Angles,Under Cover of Darkness,68,235546,False,0.35532994923857864,0.775,11,0.8539481715776038,1,0.055958549222797936,0.004347389558232931,0.283,0.0676,0.5909547738693467,0.8212366254129482,4,garage,,seed
38173,6mVD1SfTvlFAPVi7txFL5H,The Strokes,Angles,Machu Picchu,64,209626,False,0.7055837563451776,0.817,1,0.8182490797772968,1,0.06829015544041452,0.013253012048192772,0.097,0.0601,0.8783919597989949,0.43149581710303564,4,garage,,seed
38180,7lu6YLrlB1MU7HW8DJSuPa,The Strokes,The New Abnormal,At The Door,60,310373,False,0.46294416243654823,0.323,10,0.7910585798050422,1,0.03295336787564768,0.8614457831325302,0.00913,0.146,0.36482412060301506,0.48034695856548826,4,garage,,seed
38181,2LMloFiV7DHpBhITOaBSam,The Strokes,Is This It,Hard To Explain,63,224426,False,0.4121827411167513,0.682,7,0.7999926012244972,1,0.060518134715025915,0.00041465863453815264,0.849,0.0999,0.6261306532663315,0.33896668474598557,4,garage,,seed
38188,6Yu1OL8I0D4vjOzYdsXYGK,The Strokes,Room On Fire,12:51,65,153133,False,0.4578680203045685,0.889,4,0.8451806226069585,1,0.03927461139896374,0.3132530120481928,0.8,0.558,0.5949748743718593,0.5960258369902866,4,garage,,seed
38190,7bfocP7GYoLOutUYpTI8tx,The Strokes,Comedown Machine,Welcome To Japan,63,230826,False,0.715736040609137,0.666,2,0.78243900634445,0,0.031398963730569954,0.0023393574297188757,0.0149,0.174,0.6492462311557788,0.509639564124057,4,garage,,seed
38218,2lffRiAET2Xt6BNb4EmkS2,The Strokes,Comedown Machine,80's Comedown Machine,55,298613,False,0.49543147208121824,0.503,0,0.7517340880084346,1,0.03378238341968912,0.005853413654618474,0.809,0.101,0.38190954773869346,0.5918306132176256,4,garage,,seed
38221,5ncofiedz9Ej6YkvvXMKVn,The Strokes,The New Abnormal,Not The Same Anymore,59,337333,False,0.35837563451776644,0.613,9,0.8070399348907755,1,0.032124352331606223,0.3855421686746988,0.0123,0.103,0.2834170854271356,0.7288225432670973,4,garage,,seed
38225,4KC2Z9dL4jL61Ys35N6srg,The Strokes,Is This It,Barely Legal,57,234733,True,0.433502538071066,0.886,0,0.7995671716330947,1,0.0383419689119171,0.004016064257028113,0.0532,0.0909,0.8613065326633165,0.6476053120326085,4,garage,,seed
38232,1EsgUWQsxGBwnu3NATDjiU,The Strokes,Is This It,The Modern Age,57,208306,False,0.5380710659898477,0.89,2,0.8044133695873332,1,0.03398963730569949,0.012449799196787148,0.759,0.143,0.8723618090452261,0.5997320973653502,4,garage,,seed
38266,718purgMpFb2Axhuz0Hbq1,The Strokes,Comedown Machine,Chances,56,216786,False,0.5695431472081218,0.569,6,0.737084512513179,1,0.02994818652849741,0.36646586345381527,0.611,0.109,0.5326633165829145,0.42611721972946764,4,garage,,seed
38270,4ileLT7ldd2uX8bMemWqbm,The Strokes,Angles,Life Is Simple in the Moonlight,59,255240,False,0.5228426395939086,0.696,6,0.8078353032573108,0,0.03243523316062177,0.012650602409638554,0.000345,0.0916,0.5155778894472361,0.554266719261049,4,garage,,seed
38276,78Gzxi27GuNHTfkn2BylG4,The Strokes,Room On Fire,What Ever Happened?,62,169506,False,0.5553299492385787,0.596,11,0.8043763757098199,1,0.03512953367875648,8.052208835341366e-05,0.739,0.273,0.5869346733668341,0.4773351083937347,4,garage,,seed
38320,3mYCd23hPxJW5okSvMoy3x,The Strokes,First Impressions Of Earth,Heart In a Cage,63,206173,False,0.4243654822335025,0.857,8,0.8212270869171151,1,0.04186528497409327,2.740963855421687e-06,0.805,0.368,0.12060301507537687,0.5753332347188667,4,garage,,seed
38357,7G8hUONVhvJnkD3Ak8mNF1,The Strokes,Is This It,Soma,54,153933,False,0.5086294416243654,0.715,0,0.7796274716534413,1,0.031191709844559587,0.07771084337349397,0.00603,0.0653,0.5045226130653266,0.6121123218776194,4,garage,,seed
38371,2ThdB23G9Rgf1ExndFGEEg,The Strokes,Comedown Machine,Tap Out,56,222360,False,0.748223350253807,0.745,9,0.8062260695854835,1,0.03637305699481866,0.017670682730923697,0.381,0.306,0.6321608040201004,0.4765913909570534,4,garage,,seed
38383,5GKVcvTgnFYtfh25qKQtRg,The Strokes,Comedown Machine,One Way Trigger,59,242293,False,0.5238578680203045,0.942,2,0.8400939644488836,1,0.03730569948186529,0.00018273092369477912,0.464,0.116,0.9688442211055275,0.39444143122462727,4,garage,,seed
38408,37ZgsOy8t4vMnGtMExr6ah,The Strokes,Future Present Past,Threat of Joy,57,264724,True,0.598984771573604,0.704,0,0.7856204798105912,1,0.029430051813471508,0.22389558232931728,0.0825,0.103,0.6944723618090451,0.5669016978124024,4,garage,,seed
38459,4pXyK9GW7fuT645U0DLYYF,The Strokes,Is This It,"Alone, Together",52,188800,False,0.5187817258883248,0.855,7,0.8097774818267576,1,0.03181347150259068,0.007851405622489961,0.89,0.0694,0.9668341708542713,0.5875162302976514,4,garage,,seed
38467,3kKb3U3a8jmUJQB9ypE1Jl,The Strokes,Room On Fire,Under Control,58,187306,False,0.4121827411167513,0.72,1,0.8302165991528401,1,0.030155440414507777,0.35542168674698793,0.795,0.0541,0.6442211055276381,0.3752937889321697,4,garage,,seed
38469,7eX5SypK35V8Y9d9pS6rWy,The Strokes,Room On Fire,I Can't Win,57,162040,False,0.4791878172588832,0.746,11,0.8270906165029687,1,0.03326424870466321,0.005833333333333334,0.663,0.0999,0.4050251256281407,0.40037473497362064,4,garage,,seed
38482,6SdAztAqklk1zAmUHhU4N7,The Strokes,Angles,Taken for a Fool,58,203240,False,0.5776649746192892,0.89,5,0.8339159869041672,1,0.05792746113989638,0.005973895582329318,0.0112,0.226,0.8894472361809045,0.563105040842825,4,garage,,seed
38512,37cb7mzkQKksGm0noGDXeh,The Strokes,Is This It,Trying Your Luck,53,202960,False,0.5096446700507614,0.691,9,0.7413203114884486,0,0.0322279792746114,0.009146586345381527,0.0149,0.133,0.6321608040201004,0.5913827391811711,4,garage,,seed
38573,4UF1eupXP9Zz5GpYepyOxI,The Strokes,First Impressions Of Earth,Razorblade,57,208133,False,0.39999999999999997,0.859,9,0.8449401624031222,1,0.04238341968911918,0.0020180722891566267,0.233,0.1,0.5135678391959798,0.5591234817481058,5,garage,,seed
38618,0J2OnBNKwt0KICDyDFPUvl,The Strokes,Is This It,Take It Or Leave It,53,196133,False,0.43553299492385783,0.924,2,0.8027671420379926,0,0.04207253886010363,0.0005441767068273092,0.353,0.104,0.48643216080402,0.6332034909521227,4,garage,,seed
38636,0dy6iXYIF0piirySAzCBwF,The Strokes,Room On Fire,The End Has No End,56,185560,False,0.5390862944162437,0.66,1,0.8472707766864583,1,0.03471502590673576,0.0008363453815261044,0.855,0.226,0.5356783919597989,0.5589262528146212,4,garage,,seed
38675,7xuu4ByQkm8qhnwJQk994r,The Strokes,Is This It,New York City Cops,52,210746,False,0.5299492385786801,0.853,0,0.7744853226790965,1,0.037512953367875655,0.071285140562249,2.82e-05,0.343,0.457286432160804,0.443530890981707,4,garage,,seed
38767,08l9WKDuRyGeStQ9ojTlFh,The Strokes,Room On Fire,Meet Me in the Bathroom,53,176160,False,0.433502538071066,0.941,7,0.8426835358748126,1,0.034818652849740936,6.726907630522089e-05,0.89,0.0772,0.5899497487437185,0.5750702628075538,4,garage,,seed
38866,6lnnaGN20kl0jEYJSxCgU9,The Strokes,Room On Fire,You Talk Way Too Much,53,186266,False,0.30862944162436545,0.971,4,0.8565007491260196,1,0.03637305699481866,0.05963855421686747,0.955,0.0799,0.6984924623115577,0.5253521358249922,4,garage,,seed
38906,6y4ySPeb68KGoAi1dk130F,The Strokes,Future Present Past,Oblivius,54,299232,False,0.4751269035532995,0.888,8,0.8336200358840611,1,0.05357512953367877,0.09608433734939759,0.648,0.151,0.43417085427135677,0.4230519533882287,4,garage,,seed
79130,341863z079BT4EFPiSw9DP,Regina Spektor,The Call,The Call,61,187426,False,0.5888324873096445,0.101,10,0.6264913156872537,1,0.02994818652849741,0.9377510040160644,0.000302,0.0768,0.30351758793969846,0.37392551320612066,3,piano,,seed
79145,2n0U2OG5d6TuW5mKx7YrC0,Regina Spektor,Far,Two Birds,73,195840,False,0.5543147208121827,0.5,0,0.7519005604572442,1,0.03927461139896374,0.8052208835341367,0.00108,0.107,0.45125628140703516,0.6201206383643146,4,piano,,seed
79936,2JAUBPBVkimRLc5BGhAkfJ,Regina Spektor,Begin to Hope,Samson,56,189506,False,0.4974619289340101,0.193,11,0.7396370900615947,1,0.04362694300518135,0.8654618473895582,9.74e-06,0.113,0.18492462311557786,0.3663280903308515,4,piano,,seed
57845,53h5F3GuRlrclYdMrNGaDO,The Wombats,All Out Alternative,Let's Dance to Joy Division,0,191293,False,0.4040609137055837,0.838,4,0.7926308195993562,1,0.10569948186528498,0.0012751004016064258,0.0,0.576,0.7507537688442211,0.4803880479266308,4,indie,,random
99327,4jEl93fC34ZtDkX0CLlAYP,Jimmy Buffett,Best 70s Rock Tunes,Survive,0,291400,False,0.45482233502538066,0.13,0,0.6052753269333925,1,0.03295336787564768,0.40060240963855426,1.05e-05,0.103,0.3708542713567839,0.6027357296648751,4,singer-songwriter,,random
105688,4j28aUdmXd85ZbVI2yFB46,Justnormal,Nameless,Forever to Stay,8,141558,False,0.6527918781725888,0.21,0,0.6899173186837577,1,0.04569948186528498,0.9477911646586346,0.346,0.679,0.07547738693467336,0.41110316716795686,4,study,,random
31307,4edHoZerfvMGeLz3ohZit6,The Chainsmokers,So Far So Good,iPad,69,202406,False,0.6751269035532995,0.628,2,0.7996966502043911,1,0.02694300518134715,0.005040160642570282,2.02e-05,0.0947,0.5537688442211055,0.5012039182814786,4,electro,,random
65830,2sSqbdYfjFV9H01FjlqGQK,Jubin Nautiyal;Aakanksha Sharma;Jeet Gannguli,Rustom (Original Motion Picture Soundtrack),Dhal Jaun Main,46,289044,False,0.6385786802030456,0.485,2,0.7923348685792501,0,0.02497409326424871,0.7630522088353414,1.34e-06,0.0976,0.3045226130653266,0.3942524201633713,4,k-pop,,random
78180,3mAplvB02mSFTDqvhg6c3V,Brings;Dennis aus Hürth,Liebe gewinnt,Et jeilste Land,38,219826,False,0.8771573604060913,0.828,0,0.8136433420268945,1,0.08984455958549224,0.12248995983935743,0.0,0.093,0.7949748743718592,0.49301891754187005,4,party,,random
69426,1LelW2YsF7Eewf5b4eMUmq,Havoc Mathan;Havoc Naven,Best of Havoc Brothers,KL Sarekke,33,182226,False,0.7401015228426395,0.65,1,0.8217080073247877,0,0.09616580310880829,0.043875502008032134,0.0,0.035,0.9809045226130653,0.5591933336620483,4,malay,,random
65840,5joNJn9LUvYcamWwa2iYCL,OH MY GIRL,NONSTOP,Nonstop,62,202760,False,0.7644670050761421,0.91,0,0.8682463052364833,1,0.05357512953367877,0.17168674698795183,0.0,0.367,0.829145728643216,0.5094382262544582,4,k-pop,,random
14822,09FIL9SFOmvEYZHsa6xWYy,Caspar Babypants,Night Night!,Sliver Moon,29,161106,False,0.7228426395939086,0.0716,5,0.588591088174907,1,0.046528497409326436,0.9849397590361446,0.0178,0.108,0.21206030150753766,0.5376132011899479,4,children,,random
30734,6KKskhz8aQU9uR8n1SjQFY,DJ Kantik,Our Streets,Our Streets,44,262654,False,0.8243654822335026,0.598,11,0.7806817971625695,0,0.07305699481865285,0.02058232931726908,0.837,0.335,0.5236180904522613,0.42322041976891345,4,edm,,random
79014,5wqIigDb6Afe0mX4acLyKo,OneRepublic,OO's Music Grandi Successi,Apologize,6,208106,False,0.6050761421319796,0.74,8,0.8028411297930191,1,0.035025906735751296,0.3423694779116466,2.05e-05,0.102,0.4954773869346733,0.484981838502375,4,piano,,random
40392,1IS8vo49RFyHsn9wOvOvmy,Gerson Rufino,Não Preciso de Licença,Olha Eu Aqui,41,248000,False,0.667005076142132,0.691,7,0.8108133103971292,1,0.033575129533678756,0.08082329317269077,0.0,0.0933,0.38391959798994973,0.5752099666354388,4,gospel,,random
103294,5oGgwz30cuWaSxc0l9emMa,The Temptations,Xmas Classics 2022,The Little Drummer Boy,0,205080,False,0.6203045685279187,0.509,0,0.7125390747831233,1,0.024870466321243526,0.3985943775100402,0.000166,0.0706,0.3879396984924623,0.43174235326989135,4,soul,,random
68195,3yJjRARrm2dE2tPuzPL2Z1,Wisin & Yandel,Halloween con perreito,Sexy Movimiento,0,211920,False,0.798984771573604,0.858,10,0.8393725838373748,0,0.038652849740932645,0.40662650602409645,2.95e-06,0.133,0.8180904522613064,0.431438291997436,4,latino,,random
128,38YgZVHPWOWsKrsCXz6JyP,Matt Nathanson,Some Mad Hope,Come On Get Higher,71,215173,False,0.682233502538071,0.623,9,0.8107578195808594,1,0.030777202072538864,0.2419678714859438,0.0,0.0848,0.6201005025125628,0.3780960833620959,4,acoustic,,random
1116,6sJRYw9CnzDyZ3mBOAVtNN,Los Amigos Invisibles,Commercial,Dulce,33,303213,False,0.7695431472081218,0.819,11,0.8062075726467268,0,0.054715025906735756,0.06485943775100403,0.000168,0.138,0.8311557788944722,0.4847353023355193,4,afrobeat,,random
78160,434s5Dl0MmJuwu16VemO50,Ikke Hüftgold;KYANU;Abrissgebeat,Ich schwanke noch (Kyanu & Abrissgebeat Remix),Ich schwanke noch - Kyanu & Abrissgebeat Remix,37,184741,False,0.5736040609137055,0.953,3,0.8215785287534912,1,0.122279792746114,0.0018273092369477913,0.0,0.342,0.6251256281407035,0.30847837877816675,4,party,,random
62930,5OQDBVmK02eSIw4s7cpe4B,PornoGraffitti,m-CABI,ジョバイロ,35,262320,False,0.7218274111675126,0.928,9,0.8275530399718846,0,0.04238341968911918,0.17971887550200805,0.0,0.331,0.778894472361809,0.5178574363525795,4,j-pop,,random
73523,4wp5DGGbvBcalN7rq8Dn2d,NTO;Sainte Vie;Tricky,Loving You Like Always (Sainte Vie Remix),Loving You Like Always - Sainte Vie Remix,42,412859,False,0.6568527918781726,0.794,7,0.7016258809167082,1,0.04632124352331606,0.041867469879518074,0.799,0.113,0.37587939698492456,0.5094217905100011,4,minimal-techno,,random
37866,1jxtGz4PqcqsZj6cjQeEOs,NobruDJ,MEGAFUNK GREEN VALEY,MEGAFUNK GREEN VALEY,43,509517,True,0.9543147208121826,0.544,10,0.7806633002238129,0,0.11606217616580312,0.03072289156626506,0.00414,0.251,0.7256281407035174,0.5054854297125388,4,funk,,random
67005,2oiffhYxrg5NHiPDZubyqa,Daddy Yankee;Bad Bunny,Reggaeton Mix Perreito,X ÚLTIMA VEZ,2,192477,True,0.8243654822335026,0.855,7,0.8472707766864583,1,0.05740932642487047,0.07921686746987952,0.000167,0.108,0.5758793969849245,0.36996860772808704,4,latin,,random
30767,5YPMEOJ58kfl56VHxTgwx3,David Guetta,Nothing but the Beat (Ultimate Edition),Play Hard (feat. Ne-Yo & Akon),70,201000,False,0.7015228426395939,0.921,8,0.8846900837911325,0,0.055233160621761666,0.17369477911646586,0.0,0.331,0.8040201005025125,0.5344575382541952,4,edm,,random
78099,3aBDYp4ANN7YWKuim4fChO,Stereoact;Mickie Krause,Ballermann Hits Party 2023,Fiesta Mexicana,0,172455,False,0.7725888324873096,0.86,2,0.8090561012152488,1,0.035025906735751296,0.001676706827309237,0.0,0.082,0.5386934673366834,0.5261246158144733,4,party,,random
82302,7kQNr3s3LJtQEJJQjN1oKy,Weezer,Blue/Green/Red,Undone - The Sweater Song,25,305506,False,0.45482233502538066,0.622,6,0.7926678134768695,1,0.030984455958549227,0.0011546184738955823,0.0026,0.0672,0.5396984924623115,0.3295120227470703,4,power-pop,,random
